Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"P74030",40068,46200,0,51503,44124,39676,0,48615
"P74032",287470,246080,0,234820,177450,193240,0,198490
"P74033",0,0,0,0,0,0,0,0
"P74035",100930,0,0,90818,88286,82733,79839,101910
"P74036",0,0,0,0,128510,0,72060,84275
"P74037",0,0,0,0,0,0,0,0
"P74038",0,0,0,0,0,0,0,0
"P74041",0,0,0,0,0,0,0,0
"P74042",0,0,0,0,0,0,0,0
"P74043",0,0,0,0,0,0,0,0
"P74044",0,0,0,60147,0,74508,0,0
"P74048",0,46052,0,48286,52605,0,0,50862
"P74049",0,0,0,0,0,0,0,0
"P74054",0,0,0,0,0,0,0,0
