Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"5.98_289.03281_polar",60848,55164,32906,56324,59746,37316,40866,36136
"6.03_275.01714_polar",18652,37314,16472,55408,19580,39826,40280,48250
"7.13_404.02506_polar",1006,1142,984,0,1180,1424,1728,1570
"7.32_404.02503_polar",0,834,698,1124,1232,1202,0,1520
"7.33_338.98874_polar",0,0,21294,0,57226,0,0,0
"3.09_793.51296_polar",9136,16534,1538,11456,20308,30022,11600,18416
"5.04_213.01679_polar",2490,3036,1720,3468,3580,3898,3360,3062
"6.08_199.00123_polar",10334,6506,9360,12954,15896,8072,9348,8022
"6.52_1151.37263_polar",1036,1576,940,2534,1470,3304,1478,2390
"6.55_678.09478_polar",5354,5758,3726,9890,4102,3070,3964,3656
"6.67_386.0156_polar",376,642,274,1132,408,686,670,490
"1.75_133.01413_polar",1506,2458,1176,2366,3600,3684,4208,2866
"3.94_191.01968_polar",1962,2546,1302,2338,2778,1444,1642,1508
"4.79_168.99061_polar",1640,1352,1222,1542,1392,1352,1378,1448
"5.35_243.02713_polar",1302,1568,780,1240,1214,1096,1230,1364
"5.54_166.97492_polar",348,1156,256,1454,222,990,730,1186
"5.65_184.98566_polar",604,6944,582,19236,694,13462,10044,14028
"5.84_259.02224_polar",28728,21482,24758,32400,52470,24760,33762,27796
"6.05_184.98557_polar",7532,14926,3466,17844,4172,14698,12830,14446
"6.36_989.31863_polar",2296,4644,2000,7018,3376,6602,2782,4894
"6.48_595.66369_polar",24874,34774,24828,44082,20088,13836,13834,12432
"6.67_276.98811_polar",1880,5720,2314,6922,3056,4056,3638,4114
"6.83_742.06721_polar",20010,24552,13224,34266,0,14682,13874,15452
"6.86_338.98851_polar",78522,113968,64464,181554,80534,48104,51610,45966
"7_742.0679_polar",0,0,0,0,14968,0,12098,0
"7.66_308.97795_polar",1404,1588,1070,1798,1944,1746,1436,1056
"7.73_338.98844_polar",0,0,17760,32502,0,0,0,0
"6.15_324.05897_polar",7524,6148,3832,7080,5572,5932,6558,5180
"7.07_402.99453_polar",4590,9262,3494,13070,4702,4624,0,4832
"5.22_96.96964_polar",4210,6044,4926,7208,8292,7114,7162,8094
"6.08_96.96967_polar",60540,43024,54938,68458,109198,54224,69386,55304
"8.26_308.97704_polar",1598,1176,664,1794,1892,1386,936,906
"0.3_308.86158_polar",990,1020,1098,972,1064,1040,1076,1080
"0.59_304.29915_polar",390,0,0,856,1204,478,1152,352
"0.64_130.159_polar",18826,10348,17742,16298,17342,13936,14656,15098
"0.66_144.13835_polar",1418,1558,1492,1452,0,292,0,0
"0.68_146.15399_polar",440,558,1052,888,306,364,338,402
"0.68_686.20113_polar",6404,2590,2088,6080,21564,21236,18034,14390
"0.68_551.4232_polar",594,0,0,0,1078,2084,1194,1426
"0.68_680.47984_polar",2516,2208,1300,2438,2556,2302,1240,1870
"0.68_342.26806_polar",0,1288,1522,1360,1390,1118,1478,3844
"0.68_58.06523_polar",862,764,812,834,850,692,864,3706
"0.69_355.06983_polar",1952,1378,0,2108,2872,2232,2180,2380
"0.69_536.43698_polar",998,732,0,1336,1992,6808,1438,2362
"0.7_122.09627_polar",542,776,1294,568,0,440,440,0
"0.7_535.42883_polar",0,0,66,0,272,1348,380,404
"0.71_171.1492_polar",3856,4422,2648,3594,154,376,330,1102
"0.72_118.12269_polar",1260,1714,2026,1462,414,404,620,404
"0.72_299.10997_polar",2368,1590,1526,2536,1834,2392,2092,1680
"0.72_338.34139_polar",4708,722,534,554,1064,902,2766,2560
"0.72_870.56504_polar",436,0,312,594,1074,984,0,996
"0.72_408.30842_polar",1356,0,0,36,0,0,0,426
"0.73_871.57237_polar",3338,2856,1724,3884,8690,13972,6446,7318
"0.73_107.07049_polar",784,740,716,752,760,848,0,1046
"0.74_213.1463_polar",1062,968,1486,822,1176,894,636,866
"0.74_315.17806_polar",1350,1708,2138,1724,2158,0,1124,1280
"0.74_209.08429_polar",1708,1282,1288,1640,6274,3716,4106,1274
"0.74_301.16217_polar",966,1228,1408,930,1382,1148,1344,762
"0.75_758.50967_polar",732,502,0,0,2024,3742,1654,1928
"0.75_109.01036_polar",1056,0,0,156,118,0,0,348
"0.75_257.13598_polar",1012,868,538,768,2200,2122,0,1982
"0.76_757.50283_polar",406,324,0,530,1388,2488,1088,1432
"0.76_136.02162_polar",15018,836,804,1754,1062,734,996,2292
"0.77_158.15398_polar",2586,1930,2194,1818,3250,2604,2678,2792
"0.77_198.18505_polar",0,430,726,610,1022,1142,1170,900
"0.77_271.15177_polar",1944,2104,2260,1408,1926,1288,1802,1740
"0.78_588.32309_polar",10266,7922,7720,12190,12672,11826,12012,10978
"0.82_329.15738_polar",1332,1960,2146,1646,260,234,160,152
"0.83_228.17047_polar",4276,3310,900,5008,240,0,340,0
"0.83_259.15174_polar",0,304,320,0,2316,0,1916,1362
"0.84_57.03351_polar",3844,2708,5000,2682,10238,9828,7862,8596
"0.85_337.27368_polar",458,462,0,272,716,1462,584,682
"0.87_563.26538_polar",1296,1744,664,3648,2832,3226,1584,1484
"0.88_533.33921_polar",1270,0,474,458,654,0,350,0
"0.88_315.13532_polar",1704,1948,2736,2514,2034,2556,2918,2220
